"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2021-05-31,1,"None",6132
2021-05-31,2,"None",11468
2021-05-31,3,"None",7
2021-06-01,1,"None",7343
2021-06-01,2,"None",19367
2021-06-01,3,"None",81
2021-06-02,1,"None",8084
2021-06-02,2,"None",18660
2021-06-02,3,"None",17
2021-06-03,1,"None",9556
2021-06-03,2,"None",16534
2021-06-03,3,"None",47
2021-06-04,1,"None",7743
2021-06-04,2,"None",17921
2021-06-04,3,"None",133
2021-06-05,1,"None",7127
2021-06-05,2,"None",19120
2021-06-05,3,"None",40
2021-06-06,1,"None",5497
2021-06-06,2,"None",11481
2021-06-06,3,"None",5
2021-06-07,1,"None",5846
2021-06-07,2,"None",17077
2021-06-07,3,"None",132
2021-06-07,4,"None",5
2021-06-08,1,"None",7356
2021-06-08,2,"None",17807
2021-06-08,3,"None",59
2021-06-09,1,"None",7111
2021-06-09,2,"None",18315
2021-06-09,3,"None",58
2021-06-10,1,"None",7176
2021-06-10,2,"None",17086
2021-06-10,3,"None",40
2021-06-11,1,"None",7307
2021-06-11,2,"None",16526
2021-06-11,3,"None",48
2021-06-12,1,"None",8470
2021-06-12,2,"None",15401
2021-06-12,3,"None",31
2021-06-13,1,"None",6400
2021-06-13,2,"None",9613
2021-06-13,3,"None",11
2021-06-14,1,"None",5094
2021-06-14,2,"None",16144
2021-06-14,3,"None",45
2021-06-15,1,"None",7768
2021-06-15,2,"None",15794
2021-06-15,3,"None",26
2021-06-16,1,"None",6681
2021-06-16,2,"None",17104
2021-06-16,3,"None",50
2021-06-17,1,"None",8215
2021-06-17,2,"None",14656
2021-06-17,3,"None",18
2021-06-17,4,"None",5
2021-06-18,1,"None",7350
2021-06-18,2,"None",11937
2021-06-18,3,"None",32
2021-06-19,1,"None",6726
2021-06-19,2,"None",11600
2021-06-19,3,"None",11
2021-06-20,1,"None",5338
2021-06-20,2,"None",7487
2021-06-20,3,"None",5
2021-06-21,1,"None",6912
2021-06-21,2,"None",10415
2021-06-21,3,"None",65
2021-06-22,1,"None",8102
2021-06-22,2,"None",11061
2021-06-22,3,"None",36
2021-06-23,1,"None",7608
2021-06-23,2,"None",11311
2021-06-23,3,"None",29
2021-06-24,1,"None",6688
2021-06-24,2,"None",10666
2021-06-24,3,"None",6
2021-06-25,1,"None",6014
2021-06-25,2,"None",9814
2021-06-25,3,"None",16
2021-06-26,1,"None",6947
2021-06-26,2,"None",7405
2021-06-26,3,"None",8
2021-06-27,1,"None",4356
2021-06-27,2,"None",6071
2021-06-27,3,"None",5
2021-06-28,1,"None",5495
2021-06-28,2,"None",8755
2021-06-28,3,"None",36
2021-06-29,1,"None",6704
2021-06-29,2,"None",9579
2021-06-29,3,"None",18
2021-06-29,4,"None",5
2021-06-30,1,"None",5589
2021-06-30,2,"None",11244
2021-06-30,3,"None",17
2021-07-01,1,"None",4658
2021-07-01,2,"None",11361
2021-07-01,3,"None",18
2021-07-02,1,"None",4672
2021-07-02,2,"None",11490
2021-07-02,3,"None",11
2021-07-03,1,"None",4173
2021-07-03,2,"None",7936
2021-07-03,3,"None",7
2021-07-04,1,"None",2693
2021-07-04,2,"None",6255
2021-07-04,3,"None",5
2021-07-05,1,"None",3411
2021-07-05,2,"None",11536
2021-07-05,3,"None",13
2021-07-06,1,"None",3507
2021-07-06,2,"None",12767
2021-07-06,3,"None",11
2021-07-07,1,"None",3659
2021-07-07,2,"None",12481
2021-07-07,3,"None",9
2021-07-08,1,"None",3309
2021-07-08,2,"None",11084
2021-07-08,3,"None",11
2021-07-09,1,"None",3453
2021-07-09,2,"None",10398
2021-07-09,3,"None",9
2021-07-10,1,"None",4434
2021-07-10,2,"None",9477
2021-07-10,3,"None",10
2021-07-11,1,"None",1887
2021-07-11,2,"None",6579
2021-07-11,3,"None",5
2021-07-12,1,"None",2679
2021-07-12,2,"None",8659
2021-07-12,3,"None",5
2021-07-13,1,"None",2381
2021-07-13,2,"None",9498
2021-07-13,3,"None",12
2021-07-14,1,"None",2019
2021-07-14,2,"None",9865
2021-07-14,3,"None",9
2021-07-14,4,"None",5
2021-07-15,1,"None",2261
2021-07-15,2,"None",8934
2021-07-15,3,"None",5
2021-07-16,1,"None",2310
2021-07-16,2,"None",8655
2021-07-16,3,"None",11
2021-07-17,1,"None",2506
2021-07-17,2,"None",7381
2021-07-17,3,"None",5
2021-07-18,1,"None",1598
2021-07-18,2,"None",5289
2021-07-18,3,"None",5
2021-07-19,1,"None",1162
2021-07-19,2,"None",9590
2021-07-19,3,"None",7
2021-07-20,1,"None",1395
2021-07-20,2,"None",9649
2021-07-20,3,"None",9
2021-07-21,1,"None",1321
2021-07-21,2,"None",9318
2021-07-21,3,"None",8
2021-07-22,1,"None",1354
2021-07-22,2,"None",8981
2021-07-22,3,"None",5
2021-07-23,1,"None",1405
2021-07-23,2,"None",9670
2021-07-23,3,"None",6
2021-07-24,1,"None",1638
2021-07-24,2,"None",7964
2021-07-24,3,"None",5
2021-07-25,1,"None",1044
2021-07-25,2,"None",5665
2021-07-25,3,"None",5
2021-07-26,1,"None",1295
2021-07-26,2,"None",9802
2021-07-26,3,"None",10
2021-07-27,1,"None",1371
2021-07-27,2,"None",9028
2021-07-27,3,"None",9
2021-07-28,1,"None",1365
2021-07-28,2,"None",9278
2021-07-28,3,"None",5
