"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","campaign","model"
"86","age_group65-74",0.408024041225723,0.0249715884717076,-35.8979639103355,3.28656629891045e-282,0.38850031728461,0.42845482242482,"s_2024","fit_agr"
"87","age_group85-94",1.0395863985479,0.00965239531852381,4.022104261905,5.7680513520585e-05,1.02011103746115,1.05944831081958,"s_2024","fit_agr"
"88","age_group>=95",0.753816211558942,0.0292448603657848,-9.66346525166077,4.31031942788206e-22,0.711846463927513,0.798318207941844,"s_2024","fit_agr"
"89","age_group<=34",0.16886606960576,0.0744230068646354,-23.8991871024279,3.12292683215718e-126,0.145632658141635,0.194993016098103,"s_2024","fit_agr"
"90","age_group35-44",0.168776113249974,0.0630654204704218,-28.2116919659756,4.20312842640602e-175,0.148923737859784,0.190706060536042,"s_2024","fit_agr"
"91","age_group45-54",0.2355864034382,0.0417571329670426,-34.6210919311728,1.21677523469302e-262,0.216959348639652,0.255550210455097,"s_2024","fit_agr"
"92","age_group55-64",0.304509561155691,0.0283545776284278,-41.9351262565426,0,0.287996129243004,0.321855250726327,"s_2024","fit_agr"
"93","(Intercept)",1.38444240277174,0.00601158560682902,54.1117572922872,0,1.36823020053039,1.40085550293989,"s_2024","fit_agr_sex"
"94","age_group65-74",0.405209321070604,0.0250076423737417,-36.1230175056962,9.87151387680764e-286,0.385793060724786,0.425529272137998,"s_2024","fit_agr_sex"
"95","age_group85-94",1.05414332034063,0.00967940015970187,5.44748822838851,5.10860950866599e-08,1.03434067070559,1.0743403845225,"s_2024","fit_agr_sex"
"96","age_group>=95",0.783215824624625,0.0293123737430861,-8.33596709102991,7.68672992333038e-17,0.73951154355897,0.829563382679261,"s_2024","fit_agr_sex"
"97","age_group<=34",0.167673977639637,0.0744932815956114,-23.9717429013598,5.48314113028597e-127,0.144585226336214,0.193643869615439,"s_2024","fit_agr_sex"
"98","age_group35-44",0.171826267628732,0.0631230154926523,-27.9022060466376,2.50859363465009e-171,0.151598429655606,0.194174983559535,"s_2024","fit_agr_sex"
"99","age_group45-54",0.239249804165143,0.0418037441548375,-34.2133724167957,1.52973931090333e-256,0.220313245780343,0.259548076685617,"s_2024","fit_agr_sex"
"100","age_group55-64",0.305985198456803,0.0283891447875466,-41.7137803240678,0,0.28937226756605,0.323436996937431,"s_2024","fit_agr_sex"
"101","sexMale",1.23738785225283,0.00806856694272712,26.3990605052743,1.40462712891756e-153,1.21797614831013,1.25711427910022,"s_2024","fit_agr_sex"
"102","(Intercept)",1.38892303218115,0.00747472567703757,43.9519340287697,0,1.36872880597013,1.4094265334172,"s_2024","fit_agr_sex_eth"
"103","age_group65-74",0.40526284539951,0.025016027231295,-36.1056299246945,1.85056238204509e-285,0.385837723924344,0.425592522865198,"s_2024","fit_agr_sex_eth"
"104","age_group85-94",1.0543189373009,0.00968592853083932,5.46101504230371,4.73419928911469e-08,1.03449975019162,1.07453311379832,"s_2024","fit_agr_sex_eth"
"105","age_group>=95",0.783011686011608,0.029325149827746,-8.34122450783382,7.35251508811511e-17,0.739300318847168,0.829367964983401,"s_2024","fit_agr_sex_eth"
"106","age_group<=34",0.168995474251301,0.0745383767059824,-23.8519192738611,9.67252195663214e-126,0.145712368830095,0.195187958234569,"s_2024","fit_agr_sex_eth"
"107","age_group35-44",0.173545769684907,0.0631757045512536,-27.721319842909,3.86438899345566e-169,0.15310020727353,0.196139041524631,"s_2024","fit_agr_sex_eth"
"108","age_group45-54",0.242290067414297,0.0418570111265419,-33.8681527125539,1.96175185053979e-251,0.223090060865385,0.262874285724332,"s_2024","fit_agr_sex_eth"
"109","age_group55-64",0.306749449900332,0.0284028371167096,-41.6058432420984,0,0.290087325348256,0.324253633054545,"s_2024","fit_agr_sex_eth"
"110","ethnicityblack",0.485583217297158,0.172341251541848,-4.19171030804606,2.76859375927779e-05,0.344777795809672,0.678524390653136,"s_2024","fit_agr_sex_eth"
"111","ethnicityasian",0.45788150833936,0.068154742900559,-11.4613423881083,2.06292341407463e-30,0.400350391518704,0.523006080692546,"s_2024","fit_agr_sex_eth"
"112","ethnicitymissing",0.999081160215344,0.0080516927237713,-0.114170051966453,0.909102991715557,0.98343737646228,1.01497175912952,"s_2024","fit_agr_sex_eth"
"113","sexMale",1.23802878790053,0.00807112435202511,26.4548553874054,3.20836892255694e-154,1.21860093369108,1.25777175024109,"s_2024","fit_agr_sex_eth"
"114","(Intercept)",1.74053060947074,0.00721090776891231,76.8544034220171,0,1.7161154299224,1.76531578743209,"s_2024","fit_agr_sex_reg"
"115","age_group65-74",0.390776311547785,0.025220286949822,-37.2565140833714,8.31125107254274e-304,0.37189706483474,0.410544037477533,"s_2024","fit_agr_sex_reg"
"116","age_group85-94",1.05530821808435,0.00975765814126975,5.51698710122664,3.4486073499766e-08,1.03532481198827,1.07569252377688,"s_2024","fit_agr_sex_reg"
"117","age_group>=95",0.791049623472602,0.0295593954719883,-7.92961338785234,2.19829166445158e-15,0.746546704458197,0.838266400332101,"s_2024","fit_agr_sex_reg"
"118","age_group<=34",0.154469107085187,0.0748815010696481,-24.9428915032271,2.55042067949535e-137,0.133100567494131,0.178533752711324,"s_2024","fit_agr_sex_reg"
"119","age_group35-44",0.162793141441025,0.0634917282547783,-28.5907315006055,8.76055533316803e-180,0.143527658170802,0.184103327831032,"s_2024","fit_agr_sex_reg"
"120","age_group45-54",0.231384406481333,0.0420986725848542,-34.7677198435212,7.48253620837581e-265,0.212948902616964,0.251162367204793,"s_2024","fit_agr_sex_reg"
"121","age_group55-64",0.293002215919125,0.0286203845136545,-42.8916357341075,0,0.276969370327929,0.309854740841931,"s_2024","fit_agr_sex_reg"
"122","regionWales",0.646122314853324,0.00873083504393392,-50.0257362607825,0,0.635158911063136,0.657273048850427,"s_2024","fit_agr_sex_reg"
"123","regionNorthern Ireland",0.488667585104742,0.0136882174158908,-52.3130794880914,0,0.475728648209553,0.501952203742763,"s_2024","fit_agr_sex_reg"
"124","regionEngland",0.941305550941252,0.0301357908993488,-2.00716429003931,0.0447321725735494,0.887437390186645,0.998721142636664,"s_2024","fit_agr_sex_reg"
"125","sexMale",1.2455186620662,0.00813465328444129,26.9897230434721,1.95116039903529e-160,1.2258207582967,1.26553877209167,"s_2024","fit_agr_sex_reg"
"126","(Intercept)",1.3349550418681,0.00841122793585931,34.3466634104881,1.57959447897833e-258,1.31313355819996,1.35715126030272,"s_2024","fit_agr_sex_imd"
"127","age_group65-74",0.406426895545522,0.0250466936737041,-35.9469084683564,5.65681079161751e-283,0.386922741381602,0.426840636892664,"s_2024","fit_agr_sex_imd"
"128","age_group85-94",1.05309213345127,0.00969436594258075,5.33616389000867,9.49336003928837e-08,1.03327888015372,1.07330049708177,"s_2024","fit_agr_sex_imd"
"129","age_group>=95",0.779480583342153,0.0293656906453136,-8.48362474841944,2.18284952249423e-17,0.735907550706873,0.825693049036752,"s_2024","fit_agr_sex_imd"
"130","age_group<=34",0.167081719855055,0.0745797504783393,-23.9913949071688,3.41977776039287e-127,0.144050727538246,0.192993362598798,"s_2024","fit_agr_sex_imd"
"131","age_group35-44",0.17196176587851,0.0631988414168778,-27.856256203661,9.04681303393736e-171,0.151695906223025,0.1943575628531,"s_2024","fit_agr_sex_imd"
"132","age_group45-54",0.239583895270089,0.0418606391435411,-34.1335359254004,2.34698882049313e-255,0.220596546104188,0.259939777131356,"s_2024","fit_agr_sex_imd"
