"cohort_start_date","dose","vaccination_campaign","n_dose_day"
2023-11-22,3,"a_2023",12
2023-11-22,4,"a_2023",65
2023-11-22,5,"a_2023",1724
2023-11-22,6,"a_2023",286
2023-11-22,7,"a_2023",569
2023-11-22,8,"a_2023",29
2023-11-23,3,"a_2023",5
2023-11-23,4,"a_2023",57
2023-11-23,5,"a_2023",1589
2023-11-23,6,"a_2023",334
2023-11-23,7,"a_2023",751
2023-11-23,8,"a_2023",30
2023-11-23,9,"a_2023",5
2023-11-24,3,"a_2023",6
2023-11-24,4,"a_2023",55
2023-11-24,5,"a_2023",1762
2023-11-24,6,"a_2023",316
2023-11-24,7,"a_2023",767
2023-11-24,8,"a_2023",20
2023-11-25,3,"a_2023",5
2023-11-25,4,"a_2023",44
2023-11-25,5,"a_2023",1084
2023-11-25,6,"a_2023",200
2023-11-25,7,"a_2023",510
2023-11-25,8,"a_2023",18
2023-11-26,3,"a_2023",5
2023-11-26,4,"a_2023",22
2023-11-26,5,"a_2023",1440
2023-11-26,6,"a_2023",75
2023-11-26,7,"a_2023",132
2023-11-26,8,"a_2023",8
2023-11-27,3,"a_2023",9
2023-11-27,4,"a_2023",74
2023-11-27,5,"a_2023",2609
2023-11-27,6,"a_2023",295
2023-11-27,7,"a_2023",533
2023-11-27,8,"a_2023",23
2023-11-28,3,"a_2023",5
2023-11-28,4,"a_2023",61
2023-11-28,5,"a_2023",3157
2023-11-28,6,"a_2023",255
2023-11-28,7,"a_2023",477
2023-11-28,8,"a_2023",31
2023-11-29,3,"a_2023",5
2023-11-29,4,"a_2023",56
2023-11-29,5,"a_2023",2122
2023-11-29,6,"a_2023",178
2023-11-29,7,"a_2023",344
2023-11-29,8,"a_2023",19
2023-11-30,3,"a_2023",6
2023-11-30,4,"a_2023",59
2023-11-30,5,"a_2023",2411
2023-11-30,6,"a_2023",215
2023-11-30,7,"a_2023",382
2023-11-30,8,"a_2023",18
2023-12-01,3,"a_2023",5
2023-12-01,4,"a_2023",67
2023-12-01,5,"a_2023",1870
2023-12-01,6,"a_2023",194
2023-12-01,7,"a_2023",332
2023-12-01,8,"a_2023",13
